134072	OSP00AL	10001419
177492	OSPZ18S	10002876
126707	OSP00AM	10001428
177493	OSPZ18R	10002872
126705	OSP00AQ	10001493
126709	OSP00AP	10001487
126716	OSP00AO	10001447
126717	OSP00AN	10001438
177498	OSPZ18U	10002884
177499	OSPZ18T	10002880
184887	OSPZ1AE	10002685
125754	GRE009D	-
123205	GRE009C	-
186383	OSPZ19U	10002925
164404	OSPZ18B	10002073
164405	-	10002074
147418	DTRL17U	-
184890	OSPZ1A2	10003117
141492	OSP00C2	10001831
126719	OSP00AS	10001508
126718	OSP00AT	10001514
142360	OSP00AX	10001541
126714	OSP00AY	10001544
177500	OSPZ19N	10002913
126715	OSP00AK	10001378
177571	OSPZ19O	10002910
177496	OSPZ19E	10002889
177497	OSPZ19H	10002894
177495	OSPZ19G	10002897
126710	OSP00AJ	10001375
177494	OSPZ19F	10002901
142359	OSP00AV	10001535
126706	OSP00AW	10001538
184888	OSPZ1A0	10001811
141491	OSP00C0	10001815
127753	127753	DTR008R
125528	125528	DTR006Y
167624	167624	-
127756	127756	DTRL16U
125529	125529	DTRL16S
167626	167626	DTR006V
126934	-	-
185550	-	-
185561	-	-
148589	-	-
148588	-	-
148671	-	-
168252	-	-

125758	GRE009E	-
123206	GRE009F	-
125757	GRE009G	-
125756	GRE00AN	-
125755	GRE009B	-
165341	GRE008I	-
159409	GRE008J	-
165338	GRE008K	-
165336	GREZ05D	-
159408	GREZ05C	-
165334	GREZ05B	-
145640	GRE00AU	-
145638	GRE00AW	-
145653	-	-
145651	GRE00B1	-

